title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,6 days ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Ingeniero/a Junior Software para equipos electrónicos,Sener Aerospace & Defence,"Tres Cantos, Community of Madrid, Spain",On-site,Full-time,Entry level,28,,Reposted 2 days ago,"['C', 'C++']"
Firmware Engineer - Avionics and Flight System,Sener Aerospace & Defence,"Tres Cantos, Community of Madrid, Spain",On-site,Full-time,Entry level,16,,Reposted 1 day ago,"['C++', 'C#', 'Go']"
AI Software Developer,Lear Corporation,"Valls, Catalonia, Spain",On-site,Full-time,Entry level,56,,Reposted 2 hours ago,"['Python', 'C#', 'TensorFlow', 'Docker', 'Hadoop']"
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
Junior Application Developer,Appward,"Santa Clarita, CA",On-site,Full-time,,100,,6 days ago,['SQL']
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
Junior Application Developer,Appward,"Santa Clarita, CA",On-site,Full-time,,100,,6 days ago,['SQL']
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,1 week ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9,,1 week ago,['SQL']
Programador full stack,CYE Energía,"Castellón de la Plana, Valencian Community, Spain",On-site,Full-time,,65,,3 days ago,"['C#', 'MySQL']"
Information Technology Developer,Solvix,"Pozuelo de Alarcón, Community of Madrid, Spain",On-site,Full-time,,52,,6 days ago,"['React', 'PostgreSQL']"
Software Engineer Intern,Direct Supply,"Milwaukee, WI",On-site,Internship,,100,,Reposted 5 days ago,"['SQL', 'Java', 'Python']"
Software Engineering Intern,Fintech,"Tampa, FL",Hybrid,Internship,,100,,1 day ago,"['NoSQL', 'Spring', 'SQL', 'JavaScript', 'TypeScript', 'C#', 'Python', 'Java']"
Software Engineer 1,Garmin,"Cary, NC",,Full-time,Entry level,100,,2 days ago,"['C', 'C++', 'C#', 'Java']"
IoT and Edge Computing Engineer,SNGULAR,"Palos de la Frontera, Andalusia, Spain",Spain,On-site,Full-time,Mid-Senior level,20,,Reposted 6 hours ago,"['AWS', 'Docker', 'Kubernetes', 'Python', 'Scala', 'Java', 'Azure']"
DevOps Engineer,PIXIE,Greater Barcelona Metropolitan Area,Spain,Hybrid,Contract,Mid-Senior level,8,,10 hours ago,['AWS']
Data Engineer,Hays,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,7,,5 hours ago,"['BigQuery', 'SQL']"
DevOps Engineer,Swiss Re,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,8,,1 day ago,"['Docker', 'Bash', 'Python', 'SQL', 'Azure']"
Desarrollador/a Fullstack Node/React/Arquitectura Hexagonal/Testing,Hays,"Gavà, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,67,,Reposted 11 hours ago,"['MongoDB', 'Docker', 'MySQL']"
ARQUITECTO .NET,knowmad mood,Spain,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 7 hours ago,['React']
Senior Data Engineer (Azure),SNGULAR,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,27,,Reposted 6 hours ago,['Azure']
Business Intelligence Developer,ClearPeaks,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,,100,,Reposted 11 hours ago,"['SQL', 'Azure']"
Computer Vision ML Engineer,NTT DATA Europe & Latam,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,100,,Reposted 11 hours ago,"['TensorFlow', 'PyTorch', 'Keras', 'OpenCV', 'AWS', 'Azure', 'Docker', 'Kubernetes']"
L2 Support Engineer (Azure) Barcelona Hybrid,Digitalents Search & Selection,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,11,,10 hours ago,['SQL']
Ingeniero/a de Integración y Pruebas,THE CT ENGINEERING GROUP,"Seville, Andalusia, Spain",Spain,On-site,Full-time,Mid-Senior level,1 person clicked apply,,6 hours ago,['Jenkins']
Programador/a senior .Net,Sothis,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,11 hours ago,['SQL']
Software Development Engineer in Test (Spain),Copado,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,7,,10 hours ago,['Python']
Middle Software Engineer .NET (BARCELONA),Oxigent Technologies,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Associate,9,,13 hours ago,['C#']
Senior Backend Software Engineer – .Net (m/f/d),BESTSECRET Group,Spain,Spain,Remote,Full-time,Mid-Senior level,78,,Reposted 10 hours ago,"['Kafka', 'Kubernetes', 'PostgreSQL', 'SQL']"
Generative AI Engineer,PrimeIT España,Spain,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 6 hours ago,"['Python', 'PyTorch', 'Azure']"
Desarrollador/a React Native (€25K - €30K),Joppy,Greater Valencia Metropolitan Area,Spain,Hybrid,Full-time,Mid-Senior level,9,,13 hours ago,['React']
Data & ML Engineer,ClearPeaks,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,100,,Reposted 11 hours ago,"['Python', 'Jupyter', 'FastAPI', 'AWS', 'Azure', 'GCP']"
PHP Developer,Degusta Box,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,12,,11 hours ago,"['PHP', 'JavaScript', 'Symfony', 'AWS', 'MySQL', 'Laravel']"
Senior Backend Developer,BettingJobs,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,14,,12 hours ago,"['Java', 'Spring', 'PostgreSQL', 'MongoDB', 'AWS', 'Azure', 'GCP', 'Jenkins', 'Docker', 'Kubernetes', 'Kafka', 'Spark', 'TensorFlow', 'PyTorch']"
Lead Backend Engineer (Java),Akuaro,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,4,,5 hours ago,"['Java', 'Docker', 'Kubernetes', 'Azure']"
Ingeniero/a de Datos SQL y MLOps (Java),Qindel Group,"A Coruña, Galicia, Spain",Spain,Remote,Full-time,,46,,Reposted 10 hours ago,"['SQL', 'OpenShift', 'Java', 'Azure']"
Data Engineer (GCP),Hays,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,10,,7 hours ago,"['GCP', 'Python', 'SQL']"
Machine Learning Engineer,Keysight Technologies,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,,33,,Reposted 17 hours ago,"['Spark', 'SQL', 'Python', 'C++', 'TensorFlow', 'PyTorch']"
Senior Software Engineer,TomTom,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,,59,,Reposted 11 hours ago,"['Python', 'Shell', 'C++', 'Java', 'Azure', 'AWS']"
Desarrollador/a Backend (Ruby) (€25K - €30K),Joppy,Greater Valencia Metropolitan Area,Spain,Hybrid,Full-time,Mid-Senior level,2,,13 hours ago,['Ruby']
Data Engineer,Expleo Group,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,2,,9 hours ago,"['Python', 'SQL', 'Spark']"
Analista Programador/a (.NET / Angular),SABIA Personal,Greater Madrid Metropolitan Area,Spain,Hybrid,Full-time,Associate,2,,3 hours ago,"['Angular', 'C#']"
Java Software Engineer (Remoto) I Hexagonal,knowmad mood,"Murcia, Región de Murcia, Spain",Spain,Remote,Full-time,Mid-Senior level,8,,6 hours ago,['Java']
Programador Java Struts,Quental,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,6,,7 hours ago,"['Java', 'HTML', 'CSS', 'SQL']"
Senior Software Engineer - Avionics and Flight System,Sener Aerospace & Defence,Greater Santander Metropolitan Area,Spain,On-site,Full-time,Mid-Senior level,2,,21 hours ago,"['C', 'C#']"
Desarrollador Java,Nunegal Consulting,"A Coruña, Galicia, Spain",Spain,Hybrid,Full-time,Associate,93,,Reposted 13 hours ago,"['Java', 'SQL', 'MongoDB']"
AWS DevOps Engineer,Joppy,Greater Madrid Metropolitan Area,Spain,Hybrid,Full-time,Associate,5,,8 hours ago,"['AWS', 'PostgreSQL', 'NoSQL', 'Docker', 'Kubernetes', 'Java']"
AI Software Developer,Lear Corporation,"Valls, Catalonia, Spain",Spain,On-site,Full-time,Entry level,58,,Reposted 11 hours ago,"['Python', 'C#', 'TensorFlow', 'Docker', 'Hadoop']"
Consultant Full Stack Software Developer (React / Kotlin / Java),Thoughtworks,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,,14,,10 hours ago,"['Kotlin', 'AWS', 'Docker', 'Kubernetes']"
Full Stack Developer,ClearPeaks,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,,100,,Reposted 11 hours ago,"['JavaScript', 'TypeScript']"
Programador Junior,Carmen,"Elche, Valencian Community, Spain",Spain,On-site,Full-time,Entry level,16,,3 hours ago,['Angular']
Senior Embedded Software Engineer,Galgus,"Andalusia, Spain",Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 13 hours ago,"['C', 'Python']"
Beca Ingeniero/a Software,Skylife Engineering,"Seville, Andalusia, Spain",Spain,On-site,Part-time,,12,,9 hours ago,['JavaScript']
Java Software Developer - 100% remoto,knowmad mood,Spain,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 11 hours ago,"['MariaDB', 'Spring', 'Kafka']"
Software Development Engineer in Test,Copado,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Associate,100,,Reposted 10 hours ago,['Python']
Senior DevOps Engineer,Verisk,"Málaga, Andalusia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,0,,3 hours ago,"['Azure', 'PowerShell']"
Software Engineer - Junior at EY wavespace Data & AI hub,EY,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,100,,Reposted 11 hours ago,"['React', 'Azure', 'Jenkins', 'Kubernetes', 'OpenShift', 'PostgreSQL']"
Desarrollador/a Full Stack,Econocom Products & Solutions,"Gijón, Principality of Asturias, Spain",Spain,Hybrid,Full-time,Associate,100,,Reposted 11 hours ago,"['Spring', 'MySQL', 'Angular', 'Java', 'HTML', 'CSS', 'JavaScript', 'TypeScript']"
Senior Fullstack Developer (Java & React),NTT DATA Europe & Latam,"Murcia, Región de Murcia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,10,,14 hours ago,"['Java', 'React']"
R&D senior software engineer for interlocking platform (C/C++),Siemens,"Tres Cantos, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,36,,Reposted 11 hours ago,['C']
Senior Full Stack JAVA Developer,CGI,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,27,,Reposted 9 hours ago,['Java']
Desarrollador/a Sharepoint Senior,agap2 Spain,Spain,Spain,Remote,Full-time,Mid-Senior level,5,,4 hours ago,"['React', 'CSS', 'HTML']"
Desarrollador/a Junior SharePoint,Apiux Tech,Spain,Spain,Remote,Full-time,Mid-Senior level,77,,21 hours ago,"['React', 'TypeScript', 'HTML', 'CSS']"
Staff Software Engineer- Posture Applications Management,Sysdig,"Zaragoza, Aragon, Spain",Spain,Hybrid,Full-time,Mid-Senior level,0,,3 hours ago,"['Go', 'AWS']"
Railway Software Engineer (C++),Siemens,"Tres Cantos, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,86,,Reposted 11 hours ago,"['C++', 'C', 'Python']"
Murex MxTest Engineer - Test Engineer,First Derivative,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Mid-Senior level,1 person clicked apply,,6 hours ago,"['Shell', 'SQL']"
Back End Developper (W/M),MCA,"Centro, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,3,,14 hours ago,"['Java', 'Spring']"
Ingeniera/o Devops,Capgemini,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Associate,35,,Reposted 10 hours ago,"['Docker', 'Kubernetes', 'Java', 'Spring', 'Go', 'AWS']"
Systems Engineer UNIX,Inetum,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,11,,Reposted 11 hours ago,['Oracle']
Data Reliability Engineer (Data Engineer SRE),Qonto,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,3 hours ago,"['AWS', 'Snowflake', 'Airflow', 'Kubernetes', 'Docker', 'PostgreSQL', 'Redis', 'Kafka', 'Go', 'Python']"
Data QA Engineer,Expleo Group,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,0,,3 hours ago,"['Python', 'SQL']"
DevOps Engineer,TransPerfect,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,72,,Reposted 6 hours ago,"['Jenkins', 'Shell', 'AWS', 'Java', 'Python', 'Docker', 'Azure', 'Redis', 'SQL', 'PostgreSQL', 'MySQL', 'MongoDB', 'Kubernetes', 'PowerShell']"
Desarrollador de SAP ABAP,HOLA CONSULTORES SL,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Associate,13,,14 hours ago,['SQL']
AWS Business Developer,TD SYNNEX Spain​,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,35,,Reposted 11 hours ago,['AWS']
Trainee Cloud Application Developer,Zurich Insurance,"Barcelona, Catalonia, Spain",Spain,Hybrid,Internship,,100,,Reposted 11 hours ago,"['Python', 'Java', 'Spring', 'JavaScript', 'Angular']"
Reverse Engineer Lead (Android/Java/Cybersecurity),Cognizant,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,4,,14 hours ago,['Java']
CiS.Developer PHP (Drupal) H/M,Inetum,Greater Madrid Metropolitan Area,Spain,On-site,Full-time,Mid-Senior level,36,,Reposted 11 hours ago,"['PHP', 'Docker']"
Back End Senior Software Engineer (Bangkok based – Relocation provided),Agoda,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Mid-Senior level,19,,Reposted 12 hours ago,"['Kotlin', 'Scala', 'Kafka', 'Spark', 'Java', 'C#', 'Go', 'Oracle', 'MySQL', 'NoSQL']"
Site Reliability Developer 3,Oracle,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,1 person clicked apply,,48 minutes ago,['Oracle']
Senior Java Developer with Kafka / Elasticsearch - Relocation to Strasbourg,All European Careers,"Community of Madrid, Spain",Spain,On-site,Contract,Mid-Senior level,5,,11 hours ago,"['Java', 'Spring', 'Kubernetes', 'Kafka']"
IT Stibo Step Inhouse Product Data Developer,ZF Group,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,2,,8 hours ago,"['Java', 'JavaScript', 'SQL']"
Automation QA Engineer - Native in french (France),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,1 person clicked apply,,11 hours ago,"['Python', 'Java', 'C#', 'Swift']"
Senior Software Engineer – Full Stack (Bangkok based – Relocation provided),Agoda,"Barcelona, Catalonia, Spain",Spain,,Full-time,Mid-Senior level,19,,Reposted 12 hours ago,"['React', 'GraphQL', 'Angular', 'JavaScript', 'TypeScript', 'NoSQL', 'Redis', 'DynamoDB', 'Azure']"
"Lead Data Engineer – DevOps Team (Bangkok-Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Executive,7,,Reposted 12 hours ago,"['Kubernetes', 'Spark', 'SQL', 'Scala', 'Python', 'Java', 'BigQuery']"
"Lead Data Engineer – DevOps Team (Bangkok-Based, Relocation Provided)",Agoda,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Executive,6,,Reposted 12 hours ago,"['Kubernetes', 'Spark', 'SQL', 'Scala', 'Python', 'Java', 'BigQuery']"
"Business Intelligence Engineer, BPX - Product",Amazon,"Madrid, Community of Madrid, Spain",Spain,,Full-time,,76,,Reposted 11 hours ago,"['SQL', 'AWS', 'DynamoDB']"
HPC Support Escalation Engineer,Microsoft,"Nubledo, Principality of Asturias, Spain",Spain,Remote,Full-time,,2,,13 hours ago,['CSS']
"Senior Windows Kernel Sensor Development Engineer - (Remote, Europe)",CrowdStrike,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Mid-Senior level,3,,Reposted 11 hours ago,"['C++', 'Python']"
Cloud Service Automation Developer,Lumen Technologies,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,2,,Reposted 11 hours ago,"['AWS', 'Perl', 'Python']"
Site Reliability Engineer - Barcelona (Hybrid),Wizeline,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,1 person clicked apply,,35 minutes ago,['AWS']
DevOPS SRE AWS + Kubernetes,Plexus Tech,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,,53,,Reposted 10 hours ago,"['AWS', 'Kubernetes', 'Golang']"
DESARROLLADOR/A ANDROID KOTLIN,Capgemini Engineering,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Associate,4,,9 hours ago,"['Java', 'Kotlin', 'SQL', 'Spring']"
100%remoto Freelance-Programador Fullstack React/.Net Core  con inglés,Hays,Spain,Spain,Remote,Full-time,Mid-Senior level,60,,Reposted 11 hours ago,['React']
ERPM Senior Solution Engineer,Oracle,"Málaga, Andalusia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,1 person clicked apply,,8 hours ago,['Oracle']
Photonics C++ / Python Engineer,Robert Walters,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,4,,9 hours ago,"['Python', 'C++']"
Ingeniero de software júnior,Inar Tecnologías,"Zaragoza, Aragon, Spain",Spain,Hybrid,Full-time,,50,,14 hours ago,"['Java', 'Azure']"
Software Engineer,ODILO,"Cartagena, Región de Murcia, Spain",Spain,Remote,Full-time,Entry level,84,,Reposted 10 hours ago,"['Spring', 'PostgreSQL', 'AWS']"
Desarrollador Azure H/M,Inetum,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,49,,Reposted 11 hours ago,['Azure']
Embedded Software Engineer,Analog Devices,"Valencia, Valencian Community, Spain",Spain,,Full-time,Mid-Senior level,80,,Reposted 18 hours ago,"['C', 'C++', 'Python']"
Odoo Senior Developer,PLD Space,"Elche, Valencian Community, Spain",Spain,On-site,Full-time,Associate,7,,13 hours ago,"['Python', 'PostgreSQL', 'PHP']"
Data Engineer Full Remote with English,Babel Profiles,Spain,Spain,Remote,Full-time,Mid-Senior level,64,,9 hours ago,"['Python', 'SQL', 'PySpark', 'Pandas', 'PyTorch']"
Programador full stack,CLCircular,"Munguía, Basque Country, Spain",Spain,Hybrid,Full-time,,27,,10 hours ago,"['React', 'AWS']"
Software Developer (W/M),MCA,"Centro, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,6,,14 hours ago,"['C++', 'Java']"
Automation Developer,Play'n GO,Spain,Spain,Remote,Full-time,,54,,Reposted 10 hours ago,"['Azure', 'PowerShell', 'Python']"
Front-End Developer (W/M),MCA,"Centro, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,40,,14 hours ago,"['React', 'Sass']"
Software Developer (W/M),MCA,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Mid-Senior level,2,,6 hours ago,"['C++', 'Java']"
Ingeniero de Proyectos de Software,Westerman,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,Associate,100,,Reposted 11 hours ago,"['C#', 'SQL', 'AWS']"
Junior B2B Software Engineer,Innovery Spain by Neverhack,Greater Madrid Metropolitan Area,Spain,Hybrid,Full-time,Entry level,100,,Reposted 11 hours ago,['Java']
C++ Developer,Arktic,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Mid-Senior level,8,,3 hours ago,['C++']
Mobile Developer,Gaming Innovation Group,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Mid-Senior level,3,,5 hours ago,"['React', 'TypeScript', 'JavaScript']"
AI Engineer (LLM),Manychat,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,100,,Reposted 10 hours ago,"['Python', 'SQL']"
Programador/a ETL y Power BI,Ricoh España,"Tordera, Catalonia, Spain",Spain,On-site,Full-time,Mid-Senior level,71,,Reposted 7 hours ago,"['SQL', 'T-SQL', 'React']"
